asaSUijbckSjongvWf\qeuJKTL?TdIOp[oXURoHXlAFcjiROmjFLcNZHpJ]ZNBNK]obu@{cUwJrKd[rrKYkh|Mg`c]lsOYG	4	5.9296797 	4	0.64
asaS[iIkUPUcqokFxB|N|p~oTDGTDicDSkDSSy@xZ_NiVOjJV?n^IH{nYG|bo{NBPzQx?fqtaJefXOZXZe_\yigMo^TSDsG	4	5.8315508 	4	0.64
asa[lQaoSdwNqRhkvYCxNvMwwgQecIMg\tGVIyPjsKEeph]VEIIBH|ii{IwPRLe{TFLEtioo]bSrAXxjeJBLlUmOdWzrHq?	4	5.9094441 	4	0.64
asaeDbGtDSraebkxXk\ndrzSPT_PVATDWtDR]K_zqWJBor{HLxBOrwdGvDtHMqmcJuBuTUwUyjygFbbtSJTdlqsN?[zQdoG	4	5.7708726 	4	0.64
asbfCqWosTsddTuh}XfXdnUPLsAlS@]SCrsC^w@zDarKglpFIMjEo|RiNDwa[ZJBLcfgkhfRgygmRsaQtdkKi\MTHKJlUWg	4	6.0343969 	4	0.64
aseKdB?ds\vOv?g{wlljlqztGahaIjPcLpKECdeGW[q?~K~UoxmNHXucyijALTTpZsHZHuhBsZxsL`buwMPdjrGrC\ZKQqG	4	5.9260578 	4	0.64
aseKeA_ds\zOn?hZW]]jmizkgbIaHjPcLpKEBBeOckp?~K~PvDUHmamFMSvQrYMqZsP\`ugblJ{hMdB{ULQ`jbgie\X[SUO	4	5.9067067 	4	0.64
asfClALhf`o{eniT{ifpZe}XHAawAIEFK}?fPgFQuoSmqS^IZRb\PLGlSiaXmMJbPZI{LU[Ux?ts]bHYeUw\`wuiwMNsZo?	4	5.7444696 	4	0.64
asfUc]abVaSsyKeg[JnO]dN{DsHiAiXSGhRTD_vqSTyNaK|KlQBRlDyGyqUOrZBdS{hekzwBR`MrFuJP\kgholj`w^r`J_O	4	5.9080143 	4	0.64
asiT[AT_TIxgc|okXb]cymZ[s[@UAwAvX?L{DiJ`pejlGxeFdc|Uwp{NDcWZNsDw^WTQLmsdTJJielBtp@\DvQU`dVrgyE?	4	5.9332878 	4	0.64
asmDtJO`dLomrBk|Ri]B|}^`LP?tGbc_kiWVZ?px]GEjK`\GxXmYojdiDVLBmOSXNG\gwd\cpy|DBxiduI\`S}[YPPV|pQ?	4	5.7389141 	4	0.64
asm[lBOweBpn`\kysNUthja|FGRaCYuOKkOjDeHXy@JisWlNH`|OnTBhorBjNgLR[dLFL{XBoHQNUNGvAteLhjmOLO^{yK?	4	5.7887586 	4	0.64
asy{sEOsSpS[`w_^snVKy}FxTW@YIIXaDGTnSMR_ENicqioNaaZ\gb{L]AZqR[g|]qDRomed|JjHNoAftSGt]YqsBKZ{W{?	4	5.8982677 	4	0.64
atqKLRWa|ZUphmsp{a{}Bc~DQHHaeJHPL@PnMR?wFsU`lBo\LB`ULSmiSZbb\cHLLQkzKUD|{BpDilJUh@mlNSPxwZbxqo?	4	5.7711951 	4	0.64
aueckEnxCZ\GuFdusZvrivfHBCBoaHPXLBOnFgBiLcHKcazEwDVGxxFDlIqHJtJUUBiz_VJHiZgas|IQXzdKuRa|g]Fto[?	4	5.7513530 	4	0.64
aujDEEdashPJcNuhvgu[tlfPpQBPWAgJWiBrCtqgX\ihz_kLm_wPwtqc{duiz`DkMyPRdOj]CxQh{Ez{oK~@rGzwAZKV]@G	4	6.0193280 	4	0.64
aumC[bqjEasjrsfWSpmFNw}x@GQHPhsHGLFF\CHomQnfe_yWmasR[RhJFHV`KlXqKRZhgBfvBW[\b|BucBV`~`STP]NdOb_	4	5.7879334 	4	0.64
aveKMAe_f@tWtXbSTZ]py|vO_[AkaIJEl`KuA]wgFmjiyKsYFRR^aDuC~@\Apaz@Khkl[^ELeYrUKd`\hgak|amEb^bgVo?	4	5.9273909 	4	0.64
a|eCKiDgvCTUqybMQMkw^~`wASbHDJgaLQonE]_ru?zCrXoXW\cRRcvhtakqmqMtBI|LLrKU\HqU|c?^jBwDyshDk]^`I_o	4	6.0301271 	4	0.64
a|qCMUqdkYOJ`N}Ay[nwxjxsWg@y_GCzHGwfLU@h]C[iSkk[gra\DLFn@X\jUHkkTDwywLM\TyNeF[`VWi{_uu\o@Ryw{?g	4	5.9192735 	4	0.64
a}iCMek`SDQZbN}C~@dnrr}WX_@giISTGzAFVH@r_XjlAXvOyh[H\PkMYHxRXPmJCrszOKuj]HmqbRa\pSldVMkRCJltGqG	4	5.9384259 	4	0.64
a}qTKukteX|Q{Qbrs^ThMe\K??BKUIUpL[DU[KJO\gZalSyKpFMIWthiYw{RHwloUIfLThElRgNBw]@kdklcilfHUFURZI_	4	5.8592765 	4	0.64
asaNnrx|nm^WtDmI|sFY_iAjCDYZ^X[}wrnaSvsPFrSg]qkEiYBDTdBg`\cxOMwvM@\mxSIxvPZ`Qbq\_lDkU_l\VESFjiw	4	5.8917749 	4	0.64
asa}vNpyVh|U}a~@qyc^OkCVGagbnWRu|TjLItrjJqsK]sgSfMKJJLKeWV\IYBmkLBYPlIMUHxl?wyy[`X\[YdPnhFEgftg	4	5.6486949 	4	0.64
at~vfZpxe|[WyDgio^cBifCf[?ArVywnwu\MGzZPXdiiala?Y~YPv`mFMwSG^IqxGbV`{M`lUgIthwqsDh^KwqWfVSrKbjg	4	5.7439659 	4	0.64
ava]~Ji~Vx[hycsHU[[ualHRhI@^THZit@nwG^NIyi[jpqhMc|KSurK_sZ`gUH}_PJhukXVQlpgbvhbTRANcCglf|?deinw	4	5.7852557 	4	0.64
avy[u}}xnM^rsGiOyPLWdwSr_jA~Xh~hpWrxMQ|aMb[ctRkSzHFJ\EJ`YZ?whVGVOVh]K_|YsqSBydpgD|BkANDln@Dqffw	4	5.7373869 	4	0.64
avy[vNuznI{[rwlsV@EoHvAIyCPj~QV}kL^XCzxaXuoEU{`IcnBTG^BdJFFIbHhlQYeLspTcz`KJUiiKSnTSAI]T~@@ZYnw	4	5.8303039 	4	0.64
avz\vNeyNaPZdN{C|@mV?lWE]?AU^xhn|Iq{LRVIHdwcXjdEYlwE\RsIjMFPTrPj?nRMWDYsuPkIk^Y[DY]wim`LlTTobfg	4	5.7254313 	4	0.64
avz}uQT{KT{ydvmWS\fCQqKbDGQM^Xxf[Q~WG~ToX^XBS^oHU^RBQ~HNkafIaMieCLNf?E]oFxU`p\rSoZRxr_jp]^?Onfo	4	5.9187273 	4	0.64
av}[t^Ux^F[{qUkM|_fcG|CJiGOM^gLnohL}SLnPzHoj[edV[igMyTSGt[jpMetYMKqkhXJDpWC|UNGGymUsCH\]n?cjjVw	4	5.7338797 	4	0.64
a|zu]j[s|_vWj{wFrDmCXsYEnGA~dqQrxmiLU\B?BvgdrQjBH}F[`UMgg}LHJQmTBa\c{TSlfgFi[axcD~Yco^IumMjG^Ko	4	5.7549279 	4	0.64
a}mm\nDhNO~Sqmkr^IVLAdFFPw?v]wmvOpT{Pg~ZHtkAVXuR`uQHU\SfSef?yotRPwXHwhtJMY_[ynbo\BMoKeGx~AsHrjw	4	5.7534008 	4	0.64
